bicycle.theft,x,y,xi,yi
0.0,0.0,0.14285714285714285,0,3
0.0,0.0,0.19047619047619047,0,4
2.0,0.05882352941176471,0.14285714285714285,1,3
0.0,0.05882352941176471,0.19047619047619047,1,4
0.0,0.05882352941176471,0.2380952380952381,1,5
1.0,0.1176470588235294,0.14285714285714285,2,3
1.0,0.1176470588235294,0.19047619047619047,2,4
1.0,0.1176470588235294,0.2380952380952381,2,5
0.0,0.1176470588235294,0.2857142857142857,2,6
0.0,0.1176470588235294,0.3333333333333333,2,7
0.0,0.1176470588235294,0.3809523809523809,2,8
0.0,0.1176470588235294,0.42857142857142855,2,9
0.0,0.17647058823529413,0.09523809523809523,3,2
0.0,0.17647058823529413,0.14285714285714285,3,3
3.0,0.17647058823529413,0.19047619047619047,3,4
2.0,0.17647058823529413,0.2380952380952381,3,5
0.0,0.17647058823529413,0.2857142857142857,3,6
1.0,0.17647058823529413,0.3333333333333333,3,7
0.0,0.17647058823529413,0.3809523809523809,3,8
2.0,0.17647058823529413,0.42857142857142855,3,9
8.0,0.17647058823529413,0.7142857142857143,3,15
7.0,0.17647058823529413,0.7619047619047619,3,16
5.0,0.17647058823529413,0.8095238095238095,3,17
2.0,0.17647058823529413,0.8571428571428571,3,18
1.0,0.17647058823529413,0.9047619047619048,3,19
0.0,0.17647058823529413,0.9523809523809524,3,20
6.0,0.2352941176470588,0.09523809523809523,4,2
1.0,0.2352941176470588,0.14285714285714285,4,3
2.0,0.2352941176470588,0.19047619047619047,4,4
3.0,0.2352941176470588,0.2380952380952381,4,5
3.0,0.2352941176470588,0.2857142857142857,4,6
1.0,0.2352941176470588,0.3333333333333333,4,7
0.0,0.2352941176470588,0.3809523809523809,4,8
0.0,0.2352941176470588,0.42857142857142855,4,9
1.0,0.2352941176470588,0.6190476190476191,4,13
2.0,0.2352941176470588,0.6666666666666666,4,14
1.0,0.2352941176470588,0.7142857142857143,4,15
4.0,0.2352941176470588,0.7619047619047619,4,16
1.0,0.2352941176470588,0.8095238095238095,4,17
1.0,0.2352941176470588,0.8571428571428571,4,18
0.0,0.2352941176470588,0.9047619047619048,4,19
3.0,0.2352941176470588,0.9523809523809524,4,20
3.0,0.29411764705882354,0.09523809523809523,5,2
1.0,0.29411764705882354,0.14285714285714285,5,3
0.0,0.29411764705882354,0.19047619047619047,5,4
1.0,0.29411764705882354,0.2380952380952381,5,5
4.0,0.29411764705882354,0.2857142857142857,5,6
0.0,0.29411764705882354,0.3333333333333333,5,7
3.0,0.29411764705882354,0.3809523809523809,5,8
5.0,0.29411764705882354,0.42857142857142855,5,9
0.0,0.29411764705882354,0.4761904761904762,5,10
1.0,0.29411764705882354,0.5238095238095238,5,11
1.0,0.29411764705882354,0.5714285714285714,5,12
1.0,0.29411764705882354,0.6190476190476191,5,13
1.0,0.29411764705882354,0.6666666666666666,5,14
2.0,0.29411764705882354,0.7142857142857143,5,15
2.0,0.29411764705882354,0.7619047619047619,5,16
0.0,0.29411764705882354,0.8095238095238095,5,17
0.0,0.29411764705882354,0.8571428571428571,5,18
2.0,0.29411764705882354,0.9047619047619048,5,19
11.0,0.29411764705882354,0.9523809523809524,5,20
5.0,0.29411764705882354,1.0,5,21
0.0,0.35294117647058826,0.14285714285714285,6,3
1.0,0.35294117647058826,0.19047619047619047,6,4
0.0,0.35294117647058826,0.2380952380952381,6,5
1.0,0.35294117647058826,0.2857142857142857,6,6
2.0,0.35294117647058826,0.3333333333333333,6,7
3.0,0.35294117647058826,0.3809523809523809,6,8
0.0,0.35294117647058826,0.42857142857142855,6,9
1.0,0.35294117647058826,0.4761904761904762,6,10
0.0,0.35294117647058826,0.5238095238095238,6,11
1.0,0.35294117647058826,0.5714285714285714,6,12
1.0,0.35294117647058826,0.6190476190476191,6,13
3.0,0.35294117647058826,0.6666666666666666,6,14
1.0,0.35294117647058826,0.7142857142857143,6,15
10.0,0.35294117647058826,0.7619047619047619,6,16
2.0,0.35294117647058826,0.8095238095238095,6,17
1.0,0.35294117647058826,0.8571428571428571,6,18
6.0,0.35294117647058826,0.9047619047619048,6,19
0.0,0.35294117647058826,0.9523809523809524,6,20
9.0,0.35294117647058826,1.0,6,21
1.0,0.4117647058823529,0.14285714285714285,7,3
1.0,0.4117647058823529,0.19047619047619047,7,4
1.0,0.4117647058823529,0.2380952380952381,7,5
3.0,0.4117647058823529,0.2857142857142857,7,6
0.0,0.4117647058823529,0.3333333333333333,7,7
1.0,0.4117647058823529,0.3809523809523809,7,8
1.0,0.4117647058823529,0.42857142857142855,7,9
2.0,0.4117647058823529,0.4761904761904762,7,10
1.0,0.4117647058823529,0.5238095238095238,7,11
3.0,0.4117647058823529,0.5714285714285714,7,12
1.0,0.4117647058823529,0.6190476190476191,7,13
2.0,0.4117647058823529,0.6666666666666666,7,14
2.0,0.4117647058823529,0.7142857142857143,7,15
3.0,0.4117647058823529,0.7619047619047619,7,16
2.0,0.4117647058823529,0.8095238095238095,7,17
3.0,0.4117647058823529,0.8571428571428571,7,18
1.0,0.4117647058823529,0.9047619047619048,7,19
3.0,0.4117647058823529,0.9523809523809524,7,20
0.0,0.4705882352941176,0.14285714285714285,8,3
0.0,0.4705882352941176,0.19047619047619047,8,4
0.0,0.4705882352941176,0.2380952380952381,8,5
0.0,0.4705882352941176,0.2857142857142857,8,6
4.0,0.4705882352941176,0.3333333333333333,8,7
1.0,0.4705882352941176,0.3809523809523809,8,8
1.0,0.4705882352941176,0.42857142857142855,8,9
0.0,0.4705882352941176,0.4761904761904762,8,10
0.0,0.4705882352941176,0.5238095238095238,8,11
1.0,0.4705882352941176,0.5714285714285714,8,12
1.0,0.4705882352941176,0.6190476190476191,8,13
